Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Stefon Diggs;WR;Texans;;Void;38.9%;32;$22,520,000;$22,015,000
Tee Higgins;WR;Bengals;;UFA;55.9%;26;$21,816,000;$21,816,000
Javon Hargrave;IDL;49ers;;Void;9.7%;32;$21,000,000;$40,000,000
Keenan Allen;WR;Bears;;UFA;74.8%;33;$20,025,000;$32,000,000
Chris Godwin;WR;Buccaneers;;Void;34.9%;29;$20,000,000;$40,000,000
Amari Cooper;WR;Bills;;Void;51.5%;31;$20,000,000;$40,000,000
Khalil Mack;EDGE;Chargers;;Void;56.4%;34;$19,000,000;$19,000,000
Zack Martin;RG;Cowboys;;Void;54.6%;35;$18,425,000;$36,850,000
Cam Robinson;LT;Vikings;;UFA;92.1%;30;$17,583,333;$33,000,000
Haason Reddick;EDGE;Jets;;Void;34.2%;31;$15,000,000;$30,000,000
Carlton Davis;CB;Lions;;Void;63.6%;29;$14,833,333;$24,500,000
Marcus Williams;S;Ravens;;Void;53.0%;29;$14,000,000;$17,080,000
Charvarius Ward;CB;49ers;;Void;65.1%;29;$13,500,000;$18,060,000
Demarcus Lawrence;EDGE;Cowboys;;Void;12.4%;33;$13,333,333;$30,000,000
Chase Young;EDGE;Saints;;Void;63.0%;26;$13,000,000;$12,550,000
DeAndre Hopkins;WR;Chiefs;;Void;47.2%;33;$13,000,000;$10,980,000
Ryan Kelly;C;Colts;;UFA;55.3%;32;$12,412,500;$25,350,000
Matt Judon;EDGE;Falcons;;Void;58.8%;33;$11,250,000;$14,000,000
D.J. Reed;CB;Jets;;Void;72.1%;29;$11,000,000;$18,000,000
Justin Reid;S;Chiefs;;UFA;90.1%;28;$10,500,000;$20,485,000
Brandon Scherff;RG;Jaguars;;Void;98.1%;34;$10,000,000;$9,750,000
B.J. Hill;IDL;Bengals;;UFA;62.4%;30;$10,000,000;$13,000,000
Mike Williams;WR;Steelers;;Void;43.2%;31;$10,000,000;$8,300,000
Sam Darnold;QB;Vikings;;Void;99.4%;28;$10,000,000;$8,750,000
D.J. Jones;IDL;Broncos;;UFA;37.1%;30;$10,000,000;$20,000,000
Josh Sweat;EDGE;Eagles;;Void;59.4%;28;$10,000,000;$9,500,000
Brandin Cooks;WR;Cowboys;;Void;40.2%;32;$10,000,000;$12,000,000
Jonathan Jones;CB;Patriots;;UFA;58.8%;32;$9,500,000;$13,000,000
Harrison Smith;S;Vikings;;Void;89.0%;36;$9,000,000;$7,000,000
James Daniels;RG;Steelers;;UFA;18.4%;28;$8,833,333;$8,750,000
Zach Wilson;QB;Broncos;;UFA;0.0%;26;$8,787,695;$35,150,680
Austin Corbett;RG;Panthers;;Void;28.1%;30;$8,750,000;$19,600,000
Byron Murphy;CB;Vikings;;Void;93.3%;27;$8,750,000;$8,100,000
Trey Lance;QB;Cowboys;;UFA;8.4%;25;$8,526,315;$34,105,258
Lavonte David;LB;Buccaneers;;UFA;96.5%;35;$8,500,000;$0
Dre Greenlaw;LB;49ers;;Void;3.2%;28;$8,200,000;$7,008,301
Jacoby Brissett;QB;Patriots;;UFA;32.1%;33;$8,000,000;$6,500,000
Charles Omenihu;EDGE;Chiefs;;UFA;20.8%;28;$8,000,000;$8,600,000
Robert Woods;WR;Texans;;UFA;32.6%;33;$7,625,000;$10,000,000
Ronnie Stanley;LT;Ravens;;Void;98.1%;31;$7,500,000;$6,000,000
Justin Simmons;S;Falcons;;Void;91.4%;32;$7,500,000;$7,500,000
Javon Kinlaw;IDL;Jets;;Void;60.7%;28;$7,250,000;$6,910,000
Rasul Douglas;CB;Bills;;Void;75.2%;31;$7,000,000;$5,300,000
Jerome Baker;LB;Titans;;UFA;51.7%;29;$7,000,000;$6,022,500
Stephon Gilmore;CB;Vikings;;Void;66.5%;35;$7,000,000;$7,000,000
Aaron Jones;RB;Vikings;;Void;62.7%;31;$7,000,000;$7,000,000
Marquise Brown;WR;Chiefs;;UFA;3.9%;28;$7,000,000;$6,500,000
Tyler Conklin;TE;Jets;;Void;75.1%;30;$6,750,000;$10,000,000
Joseph Noteboom;LT;Rams;;Void;20.2%;30;$6,750,000;$6,000,000
Bobby Wagner;LB;Commanders;;UFA;99.0%;35;$6,500,000;$6,060,000
Marcus Davenport;EDGE;Lions;;Void;8.1%;29;$6,500,000;$3,000,000
Tyron Smith;LT;Jets;;Void;55.2%;35;$6,500,000;$6,500,000
Darius Slayton;WR;Giants;;UFA;77.5%;28;$6,200,000;$0
Juwan Johnson;TE;Saints;;Void;64.1%;29;$6,005,000;$8,510,000
Mike Hilton;CB;Bengals;;UFA;64.9%;31;$6,000,000;$6,000,000
Marcus Epps;S;Raiders;;UFA;15.8%;29;$6,000,000;$7,755,000
Donte Jackson;CB;Steelers;;UFA;71.4%;30;$6,000,000;$4,750,000
Marcus Mariota;QB;Commanders;;UFA;8.6%;32;$6,000,000;$5,390,000
Kevin Zeitler;RG;Lions;;UFA;91.4%;35;$6,000,000;$5,490,000
Mo Alie-Cox;TE;Colts;;UFA;43.7%;32;$5,850,000;$8,200,000
Deatrich Wise;EDGE;Patriots;;UFA;36.5%;31;$5,500,000;$10,000,000
Patrick Mekari;LT;Ravens;;UFA;89.9%;28;$5,150,000;$7,100,000
Folorunso Fatukasi;IDL;Texans;;Void;28.1%;30;$5,125,000;$4,625,000
D.J. Humphries;LT;Chiefs;;UFA;8.0%;32;$5,000,000;$1,500,000
De'Vondre Campbell;LB;49ers;;Void;67.4%;32;$5,000,000;$4,560,000
Drew Lock;QB;Giants;;UFA;28.5%;29;$5,000,000;$4,950,000
Anthony Nelson;EDGE;Buccaneers;;Void;51.3%;28;$5,000,000;$5,500,000
Andy Dalton;QB;Panthers;;Void;29.4%;38;$5,000,000;$8,000,000
Isaiah Simmons;LB;Giants;;UFA;16.5%;27;$5,000,000;$1,425,000
Xavier Woods;S;Panthers;;UFA;100.0%;30;$5,000,000;$6,035,000
Jarrett Stidham;QB;Broncos;;UFA;1.3%;29;$5,000,000;$5,000,000
Kyzir White;LB;Cardinals;;UFA;93.7%;29;$5,000,000;$6,000,000
Morgan Moses;RT;Jets;;UFA;67.4%;34;$5,000,000;$5,500,000
Jedrick Wills;LT;Browns;;Void;20.8%;26;$4,925,729;$19,702,914
Alaric Jackson;LT;Rams;;UFA;82.0%;27;$4,890,000;$0
Trent Brown;RT;Bengals;;UFA;12.2%;32;$4,750,000;$2,000,000
Jeff Okudah;CB;Texans;;UFA;7.0%;26;$4,750,000;$2,500,000
Justin Fields;QB;Steelers;;UFA;36.1%;26;$4,717,988;$18,871,952
Shaquill Griffin;CB;Vikings;;UFA;50.4%;30;$4,550,000;$3,990,000
Jarran Reed;IDL;Seahawks;;UFA;60.1%;33;$4,500,000;$4,190,000
Lorenzo Carter;EDGE;Falcons;;UFA;36.7%;30;$4,500,000;$5,250,000
Will Hernandez;RG;Cardinals;;UFA;25.5%;30;$4,500,000;$4,500,000
Joe Flacco;QB;Colts;;UFA;43.0%;40;$4,500,000;$4,500,000
Tyrel Dodson;LB;Dolphins;;UFA;77.0%;27;$4,260,000;$1,000,000
Tre'Davious White;CB;Ravens;;UFA;36.0%;30;$4,250,000;$3,250,000
Jeremy Chinn;S;Commanders;;UFA;94.3%;27;$4,105,000;$3,495,000
Chukwuma Okorafor;RT;Patriots;;UFA;1.1%;28;$4,000,000;$3,125,000
Demarcus Robinson;WR;Rams;;UFA;81.8%;31;$4,000,000;$4,000,000
E.J. Speed;LB;Colts;;UFA;87.4%;30;$4,000,000;$3,920,000
Nate Herbig;RG;Steelers;;UFA;0.0%;27;$4,000,000;$2,920,000
Sebastian Joseph-Day;IDL;Titans;;UFA;46.0%;30;$4,000,000;$3,575,000
Jameis Winston;QB;Browns;;Void;42.7%;31;$4,000,000;$4,000,000
K.J. Osborn;WR;Commanders;;UFA;22.8%;28;$4,000,000;$3,180,000
Brandon Graham;EDGE;Eagles;;Void;29.7%;37;$4,000,000;$4,000,000
Mac Jones;QB;Jaguars;;UFA;48.1%;27;$3,896,585;$15,586,340
Nick Folk;K;Titans;;UFA;20.1%;41;$3,755,000;$3,500,000
Clelin Ferrell;EDGE;Commanders;;UFA;34.1%;28;$3,750,000;$3,050,000
Patrick Ricard;FB;Ravens;;UFA;39.2%;31;$3,750,000;$4,500,000
Matt Prater;K;Cardinals;;UFA;8.2%;41;$3,750,000;$4,000,000
Nelson Agholor;WR;Ravens;;Void;37.8%;32;$3,750,000;$3,750,000
Julian Blackmon;S;Colts;;UFA;93.7%;27;$3,700,000;$3,190,000
Morgan Fox;IDL;Chargers;;UFA;52.8%;31;$3,625,000;$3,750,000
Ashton Dulin;WR;Colts;;UFA;16.7%;28;$3,600,000;$3,500,000
Austin Johnson;IDL;Bills;;Void;27.7%;31;$3,500,000;$3,045,000
Robert Spillane;LB;Raiders;;UFA;98.2%;30;$3,500,000;$3,045,000
Greg Gaines;IDL;Buccaneers;;Void;35.4%;29;$3,500,000;$3,000,000
Mike Hughes;CB;Falcons;;UFA;64.7%;28;$3,500,000;$3,240,000
Elandon Roberts;LB;Steelers;;UFA;43.8%;31;$3,500,000;$2,335,000
Zack Baun;LB;Eagles;;Void;89.7%;29;$3,500,000;$3,500,000
Dennis Gardeck;EDGE;Cardinals;;UFA;19.0%;31;$3,333,333;$3,250,000
Tress Way;P;Commanders;;UFA;29.9%;35;$3,312,500;$6,415,000
Najee Harris;RB;Steelers;;UFA;50.4%;27;$3,261,861;$13,047,444
Jordan Fuller;S;Panthers;;UFA;47.2%;27;$3,250,000;$3,055,000
Dante Fowler Jr.;EDGE;Commanders;;UFA;52.1%;31;$3,250,000;$1,430,000
Emmanuel Ogbah;EDGE;Dolphins;;UFA;68.9%;32;$3,250,000;$2,000,000
Harrison Bryant;TE;Raiders;;UFA;19.0%;27;$3,250,000;$2,878,000
Pharaoh Brown;TE;Seahawks;;UFA;24.0%;31;$3,200,000;$2,690,000
Michael Davis;CB;Commanders;;UFA;12.7%;30;$3,200,000;$1,380,000
Jimmy Garoppolo;QB;Rams;;UFA;6.1%;34;$3,178,750;$3,178,750
Darrell Taylor;EDGE;Bears;;UFA;35.1%;28;$3,136,000;$20,000
Payton Turner;EDGE;Saints;;UFA;28.4%;26;$3,131,184;$12,524,736
Case Keenum;QB;Texans;;UFA;0.0%;37;$3,125,000;$4,000,000
Kristian Fulton;CB;Chargers;;UFA;69.5%;27;$3,125,000;$2,445,000
Shaq Thompson;LB;Panthers;;Void;20.1%;31;$3,105,000;$1,710,000
Solomon Thomas;IDL;Jets;;Void;39.9%;30;$3,000,000;$2,490,000
John Cominsky;IDL;Lions;;UFA;0.0%;30;$3,000,000;$500,000
Damontae Kazee;S;Steelers;;UFA;26.5%;32;$3,000,000;$1,750,000
Austin Hooper;TE;Patriots;;UFA;52.6%;31;$3,000,000;$2,410,000
D.J. Chark;WR;Chargers;;UFA;9.8%;29;$3,000,000;$2,065,000
Isaac Yiadom;CB;49ers;;Void;45.5%;29;$3,000,000;$1,375,000
Joshua Uche;EDGE;Chiefs;;UFA;22.5%;27;$3,000,000;$2,300,000
Eric Kendricks;LB;Cowboys;;UFA;83.3%;33;$3,000,000;$2,500,000
Coleman Shelton;C;Bears;;UFA;98.8%;30;$3,000,000;$1,750,000
Zach Ertz;TE;Commanders;;UFA;66.3%;35;$3,000,000;$1,960,000
Ben Bredeson;LG;Buccaneers;;UFA;98.8%;27;$3,000,000;$1,750,000
M.J. Stewart;S;Texans;;UFA;8.6%;30;$3,000,000;$3,000,000
Willie Gay, Jr.;LB;Saints;;UFA;23.9%;27;$3,000,000;$3,000,000
Quandre Diggs;S;Titans;;UFA;39.6%;32;$3,000,000;$2,745,000
Bryan Anger;P;Cowboys;;UFA;29.5%;37;$3,000,000;$3,800,000
Michael Hoecht;EDGE;Rams;;UFA;57.3%;28;$2,985,000;$0
Eric Stokes;CB;Packers;;UFA;54.0%;26;$2,981,379;$11,834,066
Emmanuel Moseley;CB;Lions;;UFA;0.0%;29;$2,875,000;$1,000,000
Mason Rudolph;QB;Titans;;UFA;43.2%;30;$2,870,000;$2,700,000
Jourdan Lewis;CB;Cowboys;;UFA;79.0%;30;$2,827,500;$2,827,500
Cornelius Lucas;LT;Commanders;;UFA;40.2%;34;$2,800,000;$2,210,000
Joe Tryon-Shoyinka;EDGE;Buccaneers;;UFA;48.3%;26;$2,792,811;$10,690,907
Jon Feliciano;LG;49ers;;Void;0.0%;33;$2,750,000;$2,150,000
Mekhi Becton;RT;Eagles;;Void;78.0%;26;$2,750,000;$2,750,000
John Jenkins;IDL;Raiders;;UFA;54.6%;36;$2,750,000;$2,210,000
Jerry Tillery;IDL;Vikings;;UFA;41.1%;29;$2,750,000;$1,470,000
Daniel Brunskill;RG;Titans;;UFA;62.4%;31;$2,750,000;$1,500,000
Ashtyn Davis;S;Jets;;UFA;22.7%;29;$2,742,500;$167,500
Malik Harrison;LB;Ravens;;UFA;32.8%;27;$2,742,500;$2,742,500
Akeem Davis-Gaither;LB;Bengals;;UFA;47.0%;28;$2,742,500;$675,500
Tershawn Wharton;IDL;Chiefs;;UFA;61.7%;27;$2,742,500;$2,742,500
A.J. Dillon;RB;Packers;;UFA;0.0%;27;$2,742,500;$167,500
Easton Stick;QB;Chargers;;UFA;0.0%;30;$2,667,500;$1,414,700
Mack Hollins;WR;Bills;;UFA;66.3%;32;$2,600,000;$1,100,000
Del'Shawn Phillips;LB;Texans;;UFA;2.5%;29;$2,600,000;$2,300,000
Sam Franklin;S;Panthers;;UFA;0.3%;29;$2,575,000;$1,125,000
Kelvin Beachum;RT;Cardinals;;UFA;67.7%;36;$2,575,000;$3,260,000
Johnny Hekker;P;Panthers;;Void;28.2%;35;$2,540,000;$4,870,000
Taylor Heinicke;QB;Chargers;;UFA;2.1%;32;$2,530,000;$1,320,000
Tanoh Kpassagnon;EDGE;Saints;;Void;6.2%;31;$2,500,000;$2,500,000
Wes Schweitzer;C;Jets;;Void;0.1%;32;$2,500,000;$3,165,000
Leki Fotu;IDL;Jets;;UFA;4.0%;27;$2,500,000;$2,160,000
Kendall Lamm;RT;Dolphins;;UFA;44.9%;33;$2,500,000;$1,600,000
Carson Wentz;QB;Chiefs;;UFA;3.3%;33;$2,500,000;$2,200,000
Isaiah Oliver;S;Jets;;UFA;50.3%;29;$2,500,000;$2,160,000
Mike Gesicki;TE;Bengals;;UFA;46.0%;30;$2,500,000;$400,000
Cody Whitehair;LG;Raiders;;UFA;19.7%;33;$2,500,000;$1,350,000
Cooper Rush;QB;Cowboys;;UFA;48.8%;32;$2,500,000;$2,750,000
Linval Joseph;IDL;Cowboys;;UFA;24.0%;37;$2,500,000;$2,000,000
Tremon Smith;CB;Broncos;;UFA;1.6%;29;$2,500,000;$2,500,000
Cody Barton;LB;Broncos;;UFA;91.2%;29;$2,500,000;$2,330,000
Duke Riley;LB;Dolphins;;UFA;3.9%;31;$2,500,000;$2,250,000
Dawuane Smoot;EDGE;Bills;;Void;29.2%;30;$2,500,000;$1,750,000
Dalton Risner;LG;Vikings;;UFA;48.1%;30;$2,410,000;$1,100,000
Tyler Boyd;WR;Titans;;UFA;58.0%;31;$2,400,000;$1,200,000
Nick Harris;C;Browns;;UFA;7.6%;27;$2,395,000;$0
Evan Brown;C;Cardinals;;UFA;97.6%;29;$2,350,000;$1,100,000
Neville Hewitt;LB;Texans;;UFA;31.1%;32;$2,300,000;$1,950,000
Denzel Perryman;LB;Chargers;;UFA;31.1%;33;$2,300,000;$1,875,000
Reggie Gilliam;FB;Bills;;UFA;12.8%;28;$2,300,000;$1,895,000
Nick Chubb;RB;Browns;;UFA;20.0%;30;$2,275,000;$2,050,000
Zay Jones;WR;Cardinals;;UFA;23.4%;30;$2,250,000;$1,150,000
Royce Newman;LG;Buccaneers;;UFA;0.3%;28;$2,250,000;$0
Joshua Dobbs;QB;49ers;;UFA;7.5%;30;$2,250,000;$2,250,000
Jonathan Bullard;IDL;Vikings;;UFA;50.5%;32;$2,250,000;$750,000
Zach Pascal;WR;Cardinals;;UFA;6.2%;31;$2,250,000;$1,500,000
Elijah Moore;WR;Browns;;UFA;75.6%;25;$2,235,106;$7,061,273
