Player,Pos.,2025 Team,2026 Team,Type,Snaps,Age,Current APY,Guarantees
Trey Hendrickson,EDGE,Bengals,,Void,26.20%,32,"$29,000,000","$20,000,000"
Deebo Samuel,WR,Commanders,,Void,67.60%,30,"$23,850,000","$41,000,000"
Mike Evans,WR,Buccaneers,,Void,31.50%,33,"$20,500,000","$29,000,000"
Christian Kirk,WR,Texans,,Void,37.30%,30,"$18,000,000","$37,000,000"
Khalil Mack,EDGE,Chargers,,UFA,41.70%,35,"$18,000,000","$18,000,000"
Travis Kelce,TE,Chiefs,,UFA,81.00%,37,"$17,125,000","$17,000,000"
Joel Bitonio,LG,Browns,,Void,99.70%,35,"$16,000,000","$14,602,942"
Jonah Williams,LT,Cardinals,,Void,52.20%,29,"$15,000,000","$19,000,000"
Wyatt Teller,RG,Browns,,Void,70.50%,32,"$14,200,000","$16,591,500"
Haason Reddick,EDGE,Buccaneers,,UFA,49.80%,32,"$14,000,000","$12,000,000"
Daniel Jones,QB,Colts,,UFA,70.50%,29,"$14,000,000","$13,150,000"
David Njoku,TE,Browns,,Void,47.50%,30,"$13,687,500","$17,000,000"
Aaron Rodgers,QB,Steelers,,UFA,89.00%,43,"$13,650,000","$10,000,000"
Joey Bosa,EDGE,Bills,,Void,57.20%,31,"$12,610,000","$12,000,000"
Jalen Thompson,S,Cardinals,,Void,85.50%,28,"$12,000,000","$20,000,000"
Cam Robinson,LT,Browns,,Void,69.40%,31,"$12,000,000","$10,750,000"
David Onyemata,IDL,Falcons,,Void,57.40%,34,"$11,666,667","$24,500,000"
Rob Havenstein,RT,Rams,,Void,40.70%,34,"$11,500,000","$13,176,471"
Malcolm Koonce,EDGE,Raiders,,UFA,44.50%,28,"$11,040,000","$10,020,000"
D.J. Reader,IDL,Lions,,Void,52.80%,32,"$11,000,000","$7,425,000"
Kyle Dugger,S,Steelers,,Void,66.00%,30,"$11,000,000","$9,750,000"
Russell Wilson,QB,Giants,,UFA,19.10%,38,"$10,500,000","$10,000,000"
Harrison Smith,S,Vikings,,Void,74.10%,37,"$10,250,000","$8,000,000"
Justin Jones,IDL,Cardinals,,SFA,0.00%,30,"$10,055,000","$17,750,000"
Taysom Hill,TE,Saints,,Void,18.70%,36,"$10,000,000","$10,100,000"
Dyami Brown,WR,Jaguars,,Void,31.00%,27,"$10,000,000","$9,500,000"
Darius Slay,CB,Bills,,UFA,36.50%,35,"$10,000,000","$8,745,000"
Leonard Floyd,EDGE,Falcons,,UFA,41.80%,34,"$10,000,000","$10,000,000"
Dallas Goedert,TE,Eagles,,Void,74.70%,31,"$10,000,000","$10,000,000"
Tutu Atwell,WR,Rams,,UFA,16.50%,27,"$10,000,000","$10,000,000"
Bobby Wagner,LB,Commanders,,UFA,99.40%,36,"$9,000,000","$8,000,000"
Kevin Zeitler,RG,Titans,,UFA,86.20%,36,"$9,000,000","$8,745,000"
Lavonte David,LB,Buccaneers,,UFA,91.20%,36,"$9,000,000","$9,000,000"
Yetur Gross-Matos,EDGE,49ers,,Void,14.60%,28,"$9,000,000","$9,390,000"
Jack Conklin,RT,Browns,,Void,35.30%,32,"$9,000,000","$9,000,000"
Demario Davis,LB,Saints,,Void,98.30%,37,"$8,625,000","$13,250,000"
Tyler Higbee,TE,Rams,,Void,32.20%,33,"$8,500,000","$11,075,980"
Dre'Mont Jones,IDL,Ravens,,UFA,72.20%,29,"$8,500,000","$7,900,000"
Andre Cisco,S,Jets,,Void,44.20%,26,"$8,500,000","$7,500,000"
Kyle Pitts,TE,Falcons,,UFA,87.70%,26,"$8,227,624","$32,910,496"
Braden Smith,RT,Colts,,UFA,71.50%,30,"$8,000,000",$0
DaQuan Jones,IDL,Bills,,Void,43.00%,35,"$8,000,000","$10,500,000"
Isaac Seumalo,LG,Steelers,,UFA,74.60%,33,"$8,000,000","$6,950,000"
Marcus Mariota,QB,Commanders,,UFA,48.40%,33,"$8,000,000","$7,390,000"
Samson Ebukam,EDGE,Colts,,UFA,35.70%,31,"$8,000,000","$10,755,000"
Kenneth Murray,LB,Cowboys,,UFA,78.90%,28,"$7,750,000","$7,490,000"
Kevin Byard,S,Bears,,UFA,99.80%,33,"$7,500,000","$7,390,000"
Denico Autry,EDGE,Texans,,Void,19.80%,36,"$7,500,000","$3,000,000"
John Franklin-Myers,IDL,Broncos,,UFA,46.00%,30,"$7,500,000","$8,000,000"
Connor McGovern,LG,Bills,,Void,91.60%,29,"$7,450,000","$9,900,000"
Trey Pipkins,RT,Chargers,,UFA,53.00%,30,"$7,250,000","$13,250,000"
Kaden Elliss,LB,Falcons,,UFA,99.90%,31,"$7,166,667","$10,160,000"
Marquise Brown,WR,Chiefs,,UFA,49.50%,29,"$7,000,000","$6,500,000"
Jermaine Eluemunor,LT,Giants,,UFA,94.60%,32,"$7,000,000","$6,750,000"
Arden Key,EDGE,Titans,,Void,42.30%,30,"$7,000,000","$13,000,000"
Donovan Wilson,S,Cowboys,,Void,83.20%,31,"$7,000,000","$13,500,000"
Larry Ogunjobi,IDL,Bills,,Void,21.90%,32,"$6,696,735","$5,426,735"
Joseph Ossai,EDGE,Bengals,,UFA,56.60%,26,"$6,500,000","$3,000,000"
Sebastian Joseph-Day,IDL,Titans,,UFA,45.60%,31,"$6,500,000","$4,980,000"
Matt Milano,LB,Bills,,Void,50.10%,32,"$6,306,500","$5,631,000"
Alex Anzalone,LB,Lions,,Void,90.90%,32,"$6,250,000","$9,000,000"
D.J. Wonnum,EDGE,Panthers,,Void,65.10%,29,"$6,250,000","$1,250,000"
Zach Ertz,TE,Commanders,,UFA,52.30%,36,"$6,250,000","$5,590,000"
Evan Neal,RT,Giants,,UFA,0.00%,26,"$6,137,814","$24,551,256"
Von Miller,EDGE,Commanders,,UFA,36.90%,37,"$6,100,000","$4,995,000"
Cameron Jordan,EDGE,Saints,,Void,53.60%,37,"$6,050,000","$6,050,000"
Tyrod Taylor,QB,Jets,,Void,24.00%,37,"$6,000,000","$8,500,000"
Quincy Williams,LB,Jets,,Void,64.80%,30,"$6,000,000","$9,000,000"
Dante Fowler Jr.,EDGE,Cowboys,,UFA,32.40%,32,"$6,000,000","$5,000,000"
A.J. Epenesa,EDGE,Bills,,Void,44.60%,28,"$6,000,000","$6,560,000"
Ethan Pocic,C,Browns,,Void,76.20%,31,"$6,000,000","$10,000,000"
John Simpson,LG,Jets,,Void,0.00%,29,"$6,000,000","$6,000,000"
Zach Wilson,QB,Dolphins,,Void,2.60%,27,"$6,000,000","$6,000,000"
Tyquan Lewis,EDGE,Colts,,UFA,28.00%,31,"$6,000,000","$6,700,000"
Alex Singleton,LB,Broncos,,UFA,91.50%,33,"$6,000,000","$9,000,000"
Jauan Jennings,WR,49ers,,Void,70.80%,29,"$5,945,000","$8,435,000"
Calais Campbell,IDL,Cardinals,,UFA,45.70%,40,"$5,500,000","$4,250,000"
Jonathan Jones,CB,Commanders,,UFA,42.50%,33,"$5,500,000","$4,500,000"
Charles Cross,LT,Seahawks,Seahawks,Extension,76.30%,26,"$26,100,000","$43,060,000"
Najee Harris,RB,Chargers,,UFA,3.80%,28,"$5,250,000","$5,250,000"
Sheldon Rankins,IDL,Texans,,Void,57.40%,32,"$5,250,000","$4,500,000"
Alohi Gilman,S,Ravens,,UFA,93.20%,29,"$5,062,500","$5,625,000"
DeAndre Hopkins,WR,Ravens,,Void,32.90%,34,"$5,000,000","$5,000,000"
Austin Hooper,TE,Patriots,,UFA,46.80%,32,"$5,000,000","$4,000,000"
Jamel Dean,CB,Buccaneers,,UFA,56.80%,30,"$5,000,000","$4,250,000"
Adam Thielen,WR,Steelers,,UFA,38.10%,36,"$5,000,000","$1,000,000"
Geno Stone,S,Bengals,,UFA,93.10%,27,"$4,900,000","$1,500,000"
Joe Tryon-Shoyinka,EDGE,Bears,,Void,13.20%,27,"$4,750,000","$4,190,000"
Amik Robertson,CB,Lions,,UFA,76.30%,28,"$4,625,000","$4,500,000"
Daniel Carlson,K,Raiders,,UFA,26.40%,31,"$4,600,000","$4,255,556"
Kamren Curl,S,Rams,,UFA,99.10%,27,"$4,500,000","$6,000,000"
Teair Tart,IDL,Chargers,,UFA,49.00%,29,"$4,500,000","$3,500,000"
Ryan Bates,RG,Bears,,Void,0.00%,29,"$4,250,000","$8,850,000"
Joe Flacco,QB,Bengals,,Void,62.70%,41,"$4,250,000","$3,000,000"
Kyle Van Noy,EDGE,Ravens,,UFA,43.40%,35,"$4,250,000",$0
Austin Ekeler,RB,Commanders,,UFA,6.50%,31,"$4,215,000","$4,210,000"
Foster Moreau,TE,Saints,,Void,22.50%,29,"$4,078,000","$8,020,000"
Derek Barnett,EDGE,Texans,,UFA,33.70%,30,"$4,000,000","$1,500,000"
Andrew Billings,IDL,Bears,,UFA,47.60%,31,"$4,000,000","$5,060,000"
Josh Jones,RG,Seahawks,,UFA,23.90%,29,"$4,000,000","$3,000,000"
Kelvin Beachum,RT,Cardinals,,UFA,58.80%,37,"$4,000,000","$3,490,000"
Andrew Wylie,RT,Commanders,,UFA,34.30%,32,"$4,000,000","$3,495,000"
Rakeem Nunez-Roches,IDL,Giants,,UFA,21.60%,33,"$4,000,000","$5,465,000"
Kalif Raymond,WR,Lions,,UFA,32.60%,32,"$4,000,000","$3,330,000"
Charles Omenihu,EDGE,Chiefs,,UFA,54.30%,29,"$4,000,000","$3,450,000"
Alijah Vera-Tucker,RG,Jets,,UFA,0.00%,27,"$3,971,259","$15,885,034"
Jahan Dotson,WR,Eagles,,Void,56.80%,26,"$3,762,089","$15,048,356"
Adam Trautman,TE,Broncos,,UFA,57.10%,29,"$3,750,000","$5,000,000"
Robert Jones,RG,Cowboys,,UFA,0.00%,27,"$3,750,000","$3,000,000"
Zion Johnson,LG,Chargers,,UFA,93.80%,27,"$3,686,670","$14,746,680"
Trevor Penning,LT,Chargers,,UFA,48.80%,27,"$3,535,829","$14,143,316"
Kenny Pickett,QB,Raiders,,UFA,8.00%,28,"$3,516,976","$14,067,904"
Jaelan Phillips,EDGE,Eagles,,UFA,74.50%,27,"$3,504,552","$14,018,206"
E.J. Speed,LB,Texans,,UFA,41.30%,31,"$3,500,000","$3,250,000"
Jadeveon Clowney,EDGE,Cowboys,,UFA,33.70%,33,"$3,500,000","$1,250,000"
P.J. Locke,S,Broncos,,UFA,15.40%,29,"$3,500,000","$3,245,000"
Eric Stokes,CB,Raiders,,UFA,92.20%,27,"$3,500,000","$2,990,000"
Jordan Elliott,IDL,49ers,,Void,42.70%,29,"$3,500,000","$2,325,000"
Greg Gaines,IDL,Buccaneers,,UFA,33.50%,30,"$3,500,000","$3,000,000"
Roy Lopez,IDL,Lions,,UFA,38.50%,29,"$3,500,000","$3,500,000"
Quay Walker,LB,Packers,,UFA,80.40%,26,"$3,460,411","$13,841,644"
Kwity Paye,EDGE,Colts,,UFA,62.00%,28,"$3,411,209","$13,644,836"
Cole Van Lanen,LT,Jaguars,Jaguars,Extension,55.00%,28,"$17,000,000","$25,000,000"
Cade Mays,LG,Panthers,,UFA,68.50%,27,"$3,406,000",$0
Tyler Linderbaum,C,Ravens,,UFA,99.20%,26,"$3,309,574","$13,238,294"
Tony Adams,S,Jets,,UFA,41.50%,27,"$3,263,000",$0
Chris Williams,IDL,Bears,,UFA,20.40%,28,"$3,263,000",$0
Ar'Darius Washington,S,Ravens,,UFA,5.40%,27,"$3,263,000",$0
Greg Dortch,WR,Cardinals,,UFA,25.70%,28,"$3,263,000",$0
Kader Kohou,CB,Dolphins,,UFA,0.00%,28,"$3,263,000",$0
Noah Brown,WR,Commanders,,UFA,9.70%,30,"$3,250,000","$2,470,000"
Miles Killebrew,S,Steelers,,UFA,0.00%,33,"$3,250,000","$2,090,000"
Greg Van Roten,RG,Giants,,UFA,100.00%,36,"$3,250,000","$2,450,000"
Devin Bush,LB,Browns,,Void,82.60%,28,"$3,250,000","$2,970,000"
Deatrich Wise,EDGE,Commanders,,UFA,4.50%,32,"$3,250,000","$2,350,000"
Emmanuel Ogbah,EDGE,Jaguars,,UFA,29.50%,33,"$3,250,000","$2,000,000"
Devin Lloyd,LB,Jaguars,,UFA,64.40%,28,"$3,234,152","$12,936,608"
Travis Etienne,RB,Jaguars,,UFA,60.10%,27,"$3,224,528","$12,898,112"
Andrew Wingard,S,Jaguars,,UFA,87.70%,30,"$3,200,000","$4,080,000"
Greg Newsome II,CB,Jaguars,,Void,69.10%,26,"$3,187,189","$12,748,754"
Julian Blackmon,S,Saints,,UFA,6.00%,28,"$3,170,000","$3,170,000"
Rashid Shaheed,WR,Seahawks,,Void,63.80%,28,"$3,092,500","$1,000,000"
Teven Jenkins,RG,Browns,,Void,29.80%,28,"$3,050,000","$2,670,000"
Keenan Allen,WR,Chargers,,UFA,55.10%,34,"$3,020,000","$2,255,000"
Elandon Roberts,LB,Raiders,,UFA,58.10%,32,"$3,010,000","$2,500,000"
Shelby Harris,IDL,Browns,,Void,48.20%,35,"$3,010,000","$2,500,000"
Jimmy Garoppolo,QB,Rams,,UFA,1.60%,35,"$3,005,000","$3,005,000"
Tyler Conklin,TE,Chargers,,UFA,14.80%,31,"$3,000,000","$2,830,000"
Azeez Ojulari,EDGE,Eagles,,Void,6.00%,26,"$3,000,000","$3,000,000"
Tim Settle,IDL,Texans,,UFA,36.90%,29,"$3,000,000","$3,250,000"
Folorunso Fatukasi,IDL,Texans,,UFA,9.70%,31,"$3,000,000","$1,500,000"
Javonte Williams,RB,Cowboys,,UFA,64.80%,26,"$3,000,000","$2,000,000"
Austin Corbett,RG,Panthers,,Void,63.40%,31,"$3,000,000","$3,000,000"
K'Lavon Chaisson,EDGE,Patriots,,UFA,62.50%,27,"$3,000,000","$2,400,000"
Tommy Townsend,P,Texans,,UFA,33.40%,30,"$3,000,000","$2,000,000"
David Edwards,LG,Bills,,UFA,91.40%,29,"$3,000,000","$2,950,000"
Ifeatu Melifonwu,CB,Dolphins,,UFA,51.10%,27,"$3,000,000","$2,450,000"
Tre'Davious White,CB,Bills,,UFA,71.40%,31,"$3,000,000","$2,200,000"
