player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,ARZ,16,0,12,9,75.0,7,6,85.7,1,85.6,0,0,,23,22,95.7,0,8,7,87.5,33,28,84.8,6,6,100.0
Nick Folk,3794,K,TEN,17,0,6,5,83.3,6,6,100.0,31,80.7,0,0,,30,28,93.3,0,9,9,100.0,30,29,96.7,9,9,100.0
Mason Crosby,3809,K,NYG,3,0,2,1,50.0,1,0,0.0,21,39.0,0,0,,7,6,85.7,0,2,2,100.0,7,5,71.4,2,2,100.0
Graham Gano,5443,K,NYG,8,0,4,3,75.0,6,3,50.0,21,48.7,0,0,,8,8,100.0,0,5,3,60.0,17,11,64.7,2,2,100.0
Randy Bullock,7154,K,NYG,5,0,1,1,100.0,3,2,66.7,21,74.4,0,0,,10,10,100.0,0,2,2,100.0,6,5,83.3,0,0,
Greg Zuerlein,7163,K,NYJ,14,0,6,5,83.3,14,13,92.9,22,90.3,0,0,,16,15,93.8,0,10,9,90.0,38,35,92.1,8,8,100.0
Justin Tucker,7604,K,BLT,19,0,6,2,33.3,14,13,92.9,3,82.5,0,0,,57,56,98.2,0,10,10,100.0,40,35,87.5,10,10,100.0
Dustin Hopkins,7958,K,CLV,15,0,8,8,100.0,13,10,76.9,8,84.4,0,0,,26,24,92.3,0,7,7,100.0,36,33,91.7,8,8,100.0
Brandon McManus,8437,K,JAX,17,0,10,5,50.0,13,11,84.6,15,73.3,0,0,,35,35,100.0,0,10,10,100.0,37,30,81.1,4,4,100.0
Brett Maher,8585,K,LA,9,0,7,3,42.9,9,7,77.8,26,48.6,0,0,,17,15,88.2,0,4,4,100.0,26,20,76.9,6,6,100.0
Cairo Santos,8932,K,CHI,17,0,8,7,87.5,10,8,80.0,6,83.3,0,0,,33,31,93.9,0,11,11,100.0,38,35,92.1,9,9,100.0
Chris Boswell,8990,K,PIT,18,0,7,6,85.7,9,8,88.9,25,85.9,0,0,,30,29,96.7,0,7,7,100.0,32,30,93.8,9,9,100.0
Jason Myers,10207,K,SEA,17,0,8,4,50.0,14,12,85.7,29,66.9,0,0,,33,33,100.0,0,12,11,91.7,42,35,83.3,8,8,100.0
Wil Lutz,11096,K,DEN,16,0,5,3,60.0,5,4,80.0,10,62.3,0,0,,31,29,93.5,0,13,12,92.3,34,30,88.2,11,11,100.0
Ka'imi Fairbairn,11161,K,HST,14,0,7,6,85.7,3,2,66.7,13,77.1,0,0,,29,28,96.6,0,10,10,100.0,31,29,93.5,11,11,100.0
Jake Elliott,11908,K,PHI,18,0,8,7,87.5,8,8,100.0,24,91.7,0,0,,46,45,97.8,0,8,7,87.5,33,31,93.9,9,9,100.0
Harrison Butker,11988,K,KC,21,0,7,7,100.0,8,8,100.0,16,91.4,0,0,,46,46,100.0,0,16,14,87.5,46,44,95.7,15,15,100.0
Younghoe Koo,12042,K,ATL,17,0,6,3,50.0,11,9,81.8,2,68.8,0,0,,28,27,96.4,0,10,10,100.0,37,32,86.5,10,10,100.0
Dare Ogunbowale,12329,HB,HST,1,0,0,0,,0,0,,13,60.3,0,0,,0,0,,0,0,0,,1,1,100.0,1,1,100.0
Austin Seibert,13701,K,NYJ,1,0,0,0,,0,0,,22,62.4,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,17,0,7,4,57.1,6,3,50.0,18,64.2,1,1,100.0,38,36,94.7,0,9,9,100.0,30,24,80.0,7,7,100.0
Daniel Carlson,28121,K,LV,16,0,3,1,33.3,10,9,90.0,23,73.0,0,0,,32,32,100.0,0,7,6,85.7,30,26,86.7,10,10,100.0
Jason Sanders,29578,K,MIA,18,0,7,5,71.4,8,6,75.0,17,81.0,0,0,,60,59,98.3,0,7,7,100.0,28,24,85.7,6,6,100.0
Tyler Bass,33010,K,BUF,19,0,6,4,66.7,9,5,55.6,4,64.5,0,0,,57,56,98.2,0,13,12,92.3,34,26,76.5,6,5,83.3
Chase McLaughlin,33285,K,TB,19,0,10,8,80.0,5,4,80.0,30,91.9,0,0,,38,38,100.0,0,12,12,100.0,36,33,91.7,9,9,100.0
Matt Ammendola,34039,K,HST,5,0,2,0,0.0,2,1,50.0,13,48.7,0,0,,11,10,90.9,0,3,3,100.0,9,6,66.7,2,2,100.0
Joey Slye,39235,K,WAS,17,0,5,3,60.0,9,7,77.8,32,70.6,0,0,,35,32,91.4,0,7,7,100.0,24,19,79.2,3,2,66.7
Michael Badgley,39417,K,DET,7,0,1,1,100.0,1,1,100.0,11,69.5,0,0,,26,24,92.3,0,3,3,100.0,7,7,100.0,2,2,100.0
Matthew Wright,39675,K,CAR,1,0,1,0,0.0,0,0,,5,56.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Eddy Pineiro,44140,K,CAR,15,0,7,5,71.4,9,7,77.8,5,58.8,0,0,,20,17,85.0,0,7,7,100.0,29,25,86.2,6,6,100.0
Lucas Havrisik,57498,K,LA,9,0,3,2,66.7,6,2,33.3,26,39.6,0,0,,22,19,86.4,0,3,3,100.0,20,15,75.0,8,8,100.0
Blake Grupe,57502,K,NO,17,0,9,6,66.7,10,8,80.0,20,60.8,0,0,,40,40,100.0,0,6,6,100.0,37,30,81.1,12,10,83.3
Anders Carlson,57509,K,GB,19,0,5,3,60.0,9,4,44.4,12,42.4,0,0,,47,41,87.2,0,14,14,100.0,36,29,80.6,8,8,100.0
Riley Patterson,57556,K,CLV,15,0,2,1,50.0,2,2,100.0,8,59.5,0,0,,46,43,93.5,0,11,11,100.0,18,16,88.9,3,2,66.7
Matt Gay,57643,K,IND,17,0,13,8,61.5,9,7,77.8,14,68.8,0,0,,36,35,97.2,0,10,9,90.0,41,33,80.5,9,9,100.0
Jamie Gillan,63303,P,NYG,1,0,0,0,,1,1,100.0,21,60.7,0,0,,0,0,,0,0,0,,1,1,100.0,0,0,
Cameron Dicker,77069,K,LAC,17,0,9,7,77.8,9,9,100.0,27,90.9,0,0,,35,35,100.0,0,8,8,100.0,33,31,93.9,7,7,100.0
Chad Ryland,77083,K,NE,16,0,4,2,50.0,10,5,50.0,19,38.2,0,0,,25,24,96.0,0,7,5,71.4,25,16,64.0,4,4,100.0
Evan McPherson,82583,K,CIN,17,0,12,7,58.3,8,8,100.0,7,84.4,0,0,,40,40,100.0,0,6,6,100.0,31,26,83.9,5,5,100.0
Jake Moody,82603,K,SF,20,0,6,5,83.3,9,5,55.6,28,72.3,0,0,,70,68,97.1,0,10,9,90.0,33,27,81.8,8,8,100.0
Brandon Aubrey,156112,K,DAL,18,0,10,10,100.0,4,4,100.0,9,90.2,0,0,,54,50,92.6,0,16,14,87.5,39,37,94.9,9,9,100.0
