player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,17,79,71,68.0,4.15,26.8,13.4,0,2,1,82.0,5373,10,5,0,12.7,134,294.83,66
Nick Folk,3794,K,TEN,14,62,58,64.7,3.78,25.7,21.4,0,1,31,76.2,4012,29,2,0,46.8,621,219.11,32
Mason Crosby,3809,K,NYG,3,16,16,60.9,3.71,23.9,18.0,0,10,21,28.9,974,4,0,0,25.0,72,59.37,2
Thomas Morstead,5088,P,NYJ,3,6,4,56.0,4.18,29.2,8.7,0,1,22,60.0,336,3,1,0,50.0,26,16.73,2
Graham Gano,5443,K,NYG,8,28,27,71.3,3.87,25.4,26.8,0,0,21,81.5,1997,5,0,0,17.9,134,104.53,23
Randy Bullock,7154,K,NYG,6,20,19,67.2,3.75,25.8,25.5,0,1,21,57.7,1344,6,0,0,30.0,153,71.27,12
Greg Zuerlein,7163,K,NYJ,15,64,60,71.7,3.97,24.5,19.4,0,1,22,86.5,4589,5,0,0,7.8,97,238.2,58
Johnny Hekker,7252,P,CAR,2,2,0,8.5,,56.5,0.0,0,0,5,60.0,17,2,2,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,19,110,103,69.3,3.95,25.6,23.0,0,2,3,81.0,7621,21,1,0,19.1,482,406.69,87
Dustin Hopkins,7958,K,CLV,15,76,75,68.0,4.16,25.6,21.6,0,6,8,59.4,5167,20,0,0,26.3,431,311.96,50
Brandon McManus,8437,K,JAX,17,86,80,68.7,4.02,26.2,22.3,0,5,15,80.0,5905,16,2,0,18.6,356,321.72,65
Brett Maher,8585,K,LA,2,2,0,28.0,,45.0,8.0,0,0,26,60.0,56,2,1,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,15,76,72,69.2,4.02,26.1,21.9,0,0,6,87.6,5261,16,2,0,21.1,350,289.74,60
Chris Boswell,8990,K,PIT,18,80,76,69.0,3.97,26.3,26.1,0,3,25,65.4,5518,19,0,0,23.8,495,301.6,58
Bradley Pinion,9598,P,ATL,17,79,77,71.8,3.92,25.3,23.7,0,1,2,84.1,5671,11,0,0,13.9,261,302.21,66
Jason Myers,10207,K,SEA,17,86,81,66.7,3.85,25.5,21.2,0,7,29,67.9,5739,23,1,0,26.7,488,312.19,55
Kamu Grugier-Hill,10842,LB,CAR,2,3,0,47.3,,32.3,14.7,0,0,5,60.0,142,3,0,0,100.0,44,0.0,0
Riley Dixon,10862,P,DEN,1,1,1,67.0,4.95,33.0,20.0,0,0,10,60.0,67,1,0,0,100.0,20,4.95,0
Wil Lutz,11096,K,DEN,17,81,77,70.4,3.88,25.5,16.9,0,0,10,90.4,5704,9,3,0,11.1,152,298.38,71
Ka'imi Fairbairn,11161,K,HST,14,69,66,66.6,4.09,26.1,23.4,0,3,13,69.6,4598,19,2,0,27.5,445,270.17,46
Jake Elliott,11908,K,PHI,18,94,86,69.6,3.93,26.3,27.3,0,0,24,80.3,6544,18,1,0,19.1,491,338.35,76
Harrison Butker,11988,K,KC,21,108,104,71.6,4.06,25.4,26.6,0,1,16,89.2,7734,16,0,0,14.8,426,422.14,91
Rigoberto Sanchez,12130,P,IND,1,1,1,62.0,4.08,40.0,,0,1,14,60.0,62,0,0,0,0.0,0,4.08,0
Cameron Johnston,12255,P,HST,1,1,1,67.0,4.38,42.0,14.0,0,0,13,60.0,67,1,0,0,100.0,14,4.38,0
Dare Ogunbowale,12329,HB,HST,1,6,5,57.7,3.38,24.7,18.0,0,0,13,60.0,346,3,0,0,50.0,54,16.91,3
Austin Seibert,13701,K,NYJ,1,3,2,65.3,4.14,24.7,0.0,0,0,22,60.0,196,1,0,0,33.3,0,8.27,2
Greg Joseph,22842,K,MIN,17,79,77,70.0,3.91,25.3,23.5,0,0,18,82.0,5533,17,1,0,21.5,400,301.24,61
Corey Bojorquez,27626,P,CLV,3,5,2,58.2,4.92,27.2,19.0,0,2,8,60.0,291,3,0,0,60.0,57,9.84,0
Daniel Carlson,28121,K,LV,17,78,76,67.9,3.93,25.1,22.0,0,1,23,75.3,5296,29,2,0,37.2,637,298.54,48
Jason Sanders,29578,K,MIA,18,90,82,70.7,4.01,26.8,29.5,0,0,17,83.1,6359,15,0,0,16.7,443,328.72,75
Tommy Townsend,33007,P,KC,1,1,1,80.0,4.57,25.0,,0,0,16,60.0,80,0,0,0,0.0,0,4.57,1
