player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Nick Folk,3794,K,TEN,1,2,2,3.96,39.0,40.5,3.0,0,0,0,1,31,59.0,0,41,0,0,50.0,3,1,2,7.91,78,0,81
Thomas Morstead,5088,P,NYJ,17,99,99,4.32,41.78,48.8,11.1,0,0,7,28,22,72.9,40,62,8,0,48.5,535,48,99,427.32,4136,8,4831
Bryan Anger,7072,P,DAL,16,46,46,4.55,44.67,50.91,10.3,0,0,3,15,9,87.5,19,63,2,0,52.2,247,24,46,209.48,2055,2,2342
Johnny Hekker,7252,P,CAR,17,82,82,4.29,43.02,46.8,6.8,0,1,14,26,5,60.2,28,69,6,1,37.8,210,31,82,351.91,3528,5,3838
Sam Martin,7947,P,BUF,19,56,56,4.2,39.86,45.64,12.6,0,0,7,18,4,70.8,26,70,7,0,37.5,264,21,56,235.44,2232,3,2556
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495
Tress Way,8358,P,WAS,17,73,73,4.3,41.78,46.04,8.0,2,0,11,25,32,50.7,30,66,1,0,46.6,271,34,75,313.87,3050,2,3361
Bradley Pinion,9598,P,ATL,17,75,75,4.41,41.47,46.97,11.4,0,0,5,24,2,88.3,30,66,12,0,41.3,353,31,75,330.84,3110,3,3523
Riley Dixon,10862,P,DEN,17,79,79,4.29,42.33,46.32,6.3,0,0,8,27,10,69.2,28,68,7,0,39.2,195,31,79,338.7,3344,6,3659
Rigoberto Sanchez,12130,P,IND,17,68,68,4.26,42.96,48.25,9.5,1,0,10,13,14,64.4,25,69,7,0,55.9,360,38,69,289.98,2921,0,3281
Matt Haack,12212,P,CLV,1,3,3,4.55,41.67,51.67,15.0,0,0,0,0,8,65.4,0,56,1,0,66.7,30,2,3,13.66,125,0,155
Cameron Johnston,12255,P,HST,15,75,75,4.25,43.6,47.28,7.0,0,0,11,28,13,62.9,36,74,4,0,37.3,196,28,75,318.72,3270,4,3546
Greg Joseph,22842,K,MIN,1,1,1,2.96,-3.0,14.0,17.0,0,0,0,0,18,60.0,0,14,0,0,0.0,17,0,1,2.96,-3,0,14
Corey Bojorquez,27626,P,CLV,17,91,91,4.35,42.44,49.12,9.7,0,0,7,17,8,79.0,35,73,14,0,48.4,428,44,91,395.82,3862,9,4470
