player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Cordarrelle Patterson,7810,HB,ATL,14,0,2,50.2,,49.1,7,0,29,0,0,153,21.9,0,0,0,0,0,0,0,,7
Robert Woods,7822,WR,HST,16,0,13,,65.9,64.4,0,0,0,0,0,0,,0,7,10,12,0,0,42,6.0,7
Kyle Juszczyk,7912,FB,SF,20,0,28,59.9,,59.9,1,0,18,0,0,18,18.0,0,0,0,0,0,0,0,,1
Jerick McKinnon,8731,HB,KC,13,0,16,59.9,,59.9,1,0,20,0,0,20,20.0,0,0,0,0,0,0,0,,1
Keith Smith,9302,FB,ATL,13,0,2,59.9,,59.9,1,0,10,0,0,10,10.0,0,0,0,0,0,0,0,,1
Nelson Agholor,9453,WR,BLT,19,0,3,59.5,,59.4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Ty Montgomery,9527,WR,NE,13,1,19,51.8,,50.9,9,0,43,0,0,219,24.3,1,0,0,0,0,0,0,,9
Jamison Crowder,9538,WR,WAS,17,0,32,,61.5,61.1,0,0,0,0,0,0,,0,35,14,61,1,0,278,7.9,35
Bobby McCain,9578,CB,NYG,9,1,21,,53.3,48.2,0,0,0,0,0,0,,1,1,0,0,1,0,0,0.0,1
DeAndre Carter,9859,WR,LV,17,0,23,52.4,61.9,55.0,11,0,40,0,0,262,23.8,0,24,18,32,2,0,232,9.7,35
Dean Marlowe,9966,S,LAC,16,0,27,61.2,,61.2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Alex Singleton,9994,LB,DEN,17,0,10,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Chris Manhertz,10211,TE,DEN,16,0,10,59.9,,59.9,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Sterling Shepard,10674,WR,NYG,15,0,21,,37.7,43.0,0,0,0,0,0,0,,0,3,2,5,1,0,10,3.3,3
Chris Moore,10741,WR,TEN,17,0,31,54.1,,53.5,4,7,26,0,0,89,22.3,0,0,0,0,0,0,0,,4
Tyler Higbee,10744,TE,LA,16,0,26,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Demarcus Robinson,10760,WR,LA,17,0,26,59.5,,59.4,1,0,20,0,0,20,20.0,0,0,0,0,0,0,0,,1
Kalif Raymond,11028,WR,DET,17,0,11,58.1,78.4,73.0,0,1,0,0,0,0,,0,29,23,42,1,0,331,11.4,29
Alex Erickson,11107,WR,LAC,8,0,27,59.5,,59.4,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Antonio Hamilton Sr.,11353,CB,ARZ,14,0,1,,58.4,57.2,0,0,0,0,0,0,,1,1,0,0,1,0,0,0.0,1
Leonard Fournette,11759,HB,BUF,2,0,4,57.1,,56.8,1,0,17,0,0,17,17.0,0,0,0,0,0,0,0,,1
Christian McCaffrey,11763,HB,SF,19,0,28,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Adoree' Jackson,11773,CB,NYG,14,0,21,,61.2,61.0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
Evan Engram,11778,TE,JAX,17,0,15,66.3,,66.8,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Jabrill Peppers,11780,S,NE,15,0,19,,42.4,46.7,0,0,0,0,0,0,,1,4,3,18,1,0,26,6.5,4
Duke Riley,11830,LB,MIA,18,1,17,67.4,,68.1,2,0,0,0,0,0,0.0,1,0,0,0,0,0,0,,2
Desmond King II,11906,CB,HST,12,0,13,58.9,49.5,52.6,5,0,27,0,0,111,22.2,0,9,5,22,1,0,109,12.1,14
Jamal Agnew,11920,WR,JAX,11,0,15,71.5,71.3,76.1,15,0,53,0,0,391,26.1,0,14,9,48,0,0,144,10.3,29
Isaiah McKenzie,11927,WR,IND,13,0,14,54.8,50.3,49.9,6,5,42,0,0,152,25.3,0,23,16,32,2,0,204,8.9,29
Trent Taylor,11932,WR,CHI,17,0,6,,59.6,59.7,0,0,0,0,0,0,,0,23,21,31,2,0,188,8.2,23
Corey Levin,11972,C,TEN,16,0,31,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
David Moore,11981,WR,TB,9,0,30,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Taysom Hill,12112,TE,NO,16,0,20,56.5,,56.1,1,0,18,0,0,18,18.0,0,0,0,0,0,0,0,,1
Dare Ogunbowale,12329,HB,HST,14,1,13,59.9,,59.9,1,0,14,0,0,14,14.0,1,0,0,0,0,0,0,,1
Joshua Kelley,13750,HB,LAC,17,0,27,59.9,,59.9,1,0,16,0,0,16,16.0,0,0,0,0,0,0,0,,1
Samori Toure,25276,WR,GB,11,0,12,,53.3,48.2,0,0,0,0,0,0,,0,1,0,0,1,0,0,0.0,1
Darius Slayton,25578,WR,NYG,17,0,21,,60.5,60.5,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
D.J. Reed,26940,CB,NYJ,15,0,22,,60.5,60.5,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
Chris Evans,27303,HB,CIN,8,0,7,62.3,,62.5,2,0,27,0,0,45,22.5,0,0,0,0,0,0,0,,2
Khalil Dorsey,27819,CB,DET,16,0,11,59.9,,59.9,12,0,30,0,0,244,20.3,0,0,0,0,0,0,0,,12
Tremon Smith,28196,CB,DEN,17,1,10,58.8,60.1,59.0,0,0,0,0,0,0,,4,1,0,14,0,0,14,14.0,1
Richie James,28991,WR,KC,13,0,16,57.3,49.9,51.5,10,6,31,0,0,210,21.0,0,28,10,27,2,0,248,8.9,38
Michael Pittman Jr.,29049,WR,IND,16,0,14,,,,0,0,7,0,0,7,,0,0,0,0,0,0,0,,0
D'Wayne Eskridge,29573,WR,SEA,4,0,29,65.9,,66.5,8,0,66,0,0,224,28.0,1,0,0,0,0,0,0,,8
Mike Boone,31615,HB,HST,9,0,13,56.6,,56.2,4,0,25,0,0,66,16.5,0,0,0,0,0,0,0,,4
Britain Covey,32933,WR,PHI,17,0,24,62.9,76.5,73.6,1,0,30,0,0,30,30.0,0,30,20,54,2,0,418,13.9,31
Diontae Johnson,33441,WR,PIT,14,0,25,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Mike Hughes,34057,CB,ATL,15,0,2,56.8,66.6,62.8,3,0,19,0,0,46,15.3,0,11,10,16,0,0,67,6.1,14
Lawrence Cager,34914,TE,NYG,11,1,21,58.7,,58.7,1,0,0,1,0,0,0.0,1,0,0,0,0,0,0,,1
Alec Ingold,34934,FB,MIA,18,0,17,59.9,,59.9,1,0,19,0,0,19,19.0,0,0,0,0,0,0,0,,1
Damien Harris,35134,HB,BUF,6,0,4,60.3,,60.3,1,0,41,0,0,41,41.0,0,0,0,0,0,0,0,,1
