player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Marcedes Lewis,2973,TE,CHI,6,0,0,6,,,61.4,,,,61.0,,,60.9,0,0,17,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,17,0,0,1,,85.6,,,82.0,,60.9,,,63.4,0,0,60,0,79,0,0,0,1
Nick Folk,3794,K,TEN,17,0,0,31,,80.7,,,76.2,,60.9,,59.0,63.3,0,0,60,0,62,0,2,0,0
Mason Crosby,3809,K,NYG,3,0,0,21,,39.0,,,28.9,,60.3,,,62.2,0,0,15,0,16,0,0,0,0
Duane Brown,4340,T,NYJ,3,0,0,22,,,60.8,,,,61.4,,,68.0,0,0,10,0,0,0,0,0,0
Calais Campbell,4364,ED,ATL,17,0,0,2,57.4,,65.0,,,,59.2,,,73.0,0,0,66,74,0,0,0,0,0
Matthew Slater,4467,WR,NE,16,2,0,19,58.5,,,,,,61.5,,,52.9,1,2,0,69,53,82,91,82,5
JJ Jansen,4712,LS,CAR,17,0,0,5,,,80.7,,,69.6,77.1,,,69.0,0,0,50,0,0,0,84,0,2
Thomas Morstead,5088,P,NYJ,17,0,1,22,,,62.3,,60.0,,63.4,,72.9,72.1,1,1,56,0,6,0,99,0,0
Graham Gano,5443,K,NYG,8,0,0,21,,48.7,,,81.5,,60.5,,,62.5,0,0,25,0,28,0,0,0,0
Brandon Graham,5538,ED,PHI,18,0,0,24,59.5,,,,,,61.3,,,70.1,0,0,0,77,0,0,0,6,0
Jason Pierre-Paul,5540,ED,MIA,2,0,0,17,58.8,,,,,,59.9,,,66.2,0,0,0,6,0,0,0,2,0
Jerry Hughes,5556,ED,HST,2,0,0,13,59.1,,,,,,60.1,,,69.9,0,0,0,7,0,0,0,0,0
Linval Joseph,5571,DI,BUF,1,0,0,4,59.8,,,,,,60.0,,,63.1,0,0,0,1,0,0,0,0,0
Jimmy Graham,5619,TE,NO,1,0,0,20,,,60.0,,,,60.0,,,60.6,0,0,1,0,0,0,0,0,0
Al Woods,5646,DI,NYJ,6,0,0,22,58.5,,62.2,,,,59.9,,,68.2,0,0,13,22,0,0,0,1,0
Jon Weeks,5800,LS,HST,19,1,0,13,,,90.2,,,47.5,63.6,,,69.3,1,0,82,0,0,0,94,0,0
Morgan Cox,6020,LS,TEN,17,0,0,31,,,83.5,,,52.2,62.1,,,68.8,0,0,60,0,0,0,82,0,1
Von Miller,6154,ED,BUF,1,0,0,4,59.8,,,,,,60.0,,,63.1,0,0,0,1,0,0,0,0,0
Patrick Peterson,6157,CB,PIT,18,0,0,25,83.3,,,,,,68.9,,,27.0,0,2,0,71,0,4,0,9,0
Tyron Smith,6161,T,DAL,3,0,0,9,,,62.0,,,,61.7,,,67.1,0,0,16,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,7,0,0,20,59.6,,,,,,61.6,,,67.0,0,0,0,8,0,0,0,3,0
Cameron Heyward,6183,DI,PIT,12,0,0,25,58.0,,61.5,,,,61.3,,,73.1,0,0,35,24,0,0,0,7,0
Randall Cobb,6216,WR,NYJ,5,0,0,22,,,,60.0,,,58.8,60.7,,62.6,0,0,0,0,0,4,0,3,0
Justin Houston,6222,ED,MIA,1,0,0,17,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,1,0
Taiwan Jones,6277,HB,NYG,2,0,0,21,59.4,,,,,,48.3,,,73.8,2,0,0,12,7,1,6,6,0
Lawrence Guy Sr.,6385,DI,NE,17,0,0,19,56.8,,65.1,,,,63.3,,,83.5,0,0,50,71,0,0,0,40,0
