Player,Pos,PrevTeam,Edad,DEF,RDEF,PRSH,COV,Snaps%,SalarioAnual
James Pierre,CB,Steelers,30,86.2,59.8,null,88.9,32,1170000
Jamel Dean,CB,Buccaneers,30,81.5,63.5,99.9,76.9,56,5000000
Avonte Maddox,CB,Lions,30,79.1,75.8,61.3,75,31,1422500
Benjamin St-Juste,CB,Chargers,29,77.6,67.2,null,79.2,35,2500000
Michael Davis,CB,Saints,31,76,60,null,76,2,1255000
Joshua Williams,CB,Chiefs,27,75.6,60.7,null,76.5,4,1081565
Tavierre Thomas,CB,Vikings,30,75.3,71.7,null,64.2,1,2000000
Jaylen Watson,CB,Chiefs,28,74.9,83.5,79.9,69.4,83,936342
Chidobe Awuzie,CB,Ravens,31,74.7,60.3,64.6,75.3,49,1255000
Jaylon Jones,CB,Bears,29,74.5,66.6,null,74.4,3,1200000
Chris Lammons,CB,Colts,30,74.3,41.5,69.2,80.6,11,1170000
Eric Stokes,CB,Raiders,27,73.6,66.8,null,73.5,92,3500000
Rasul Douglas,CB,Dolphins,32,73.5,61.8,82,73.6,79,1572500
Rodney Thomas II,CB,Colts,28,73.5,69,64.7,69.5,12,1100000
Derion Kendrick,CB,Rams,26,72.8,62.6,51.9,74.7,11,1030000
Montaric Brown,CB,Jaguars,27,72,59.1,58.5,74,67,943995
Roger McCreary,CB,Rams,26,71.5,64.7,57.9,72.3,32,2291404
Fabian Moreau,CB,Vikings,32,71.4,70.2,null,70.3,18,1255000
Asante Samuel Jr.,CB,Steelers,27,70.1,74.1,null,68,19,1170000
Deane Leonard,CB,Chargers,27,69.6,64.1,null,69,3,939916
Jalen Mills,CB,Lions,32,68.2,65.2,56.1,66.2,10,1255000
Coby Bryant,CB,Seahawks,27,66.9,71.5,66.8,63.6,81,1116952
Cor'Dale Flott,CB,Giants,25,66.9,48.4,58.5,69.6,66,1310461
Cobie Durant,CB,Rams,28,66.8,60.4,53.5,66.9,73,1041084
Tre Flowers,CB,Steelers,31,66.7,60,null,66.3,1,1255000
Nahshon Wright,CB,Bears,28,65.9,71.3,73.4,64.8,97,1100000
Jalen Davis,CB,Bengals,30,65.5,52.7,85.4,65.1,24,1170000
Rock Ya-Sin,CB,Lions,30,64.7,50.8,60.3,67.1,55,1170000
Myles Bryant,CB,Texans,28,64.5,71.4,66.9,60.5,33,1170000
A.J. Green III,CB,Dolphins,28,64,60,null,62.9,0,1100000
Alontae Taylor,CB,Saints,28,63.8,56,54.7,67.7,96,1801174
D'Angelo Ross,CB,Browns,30,63.6,53.2,null,65.4,3,1100000
Antonio Hamilton Sr.,CB,Commanders,33,63.5,71.9,null,60.7,10,1255000
Tre'Davious White,CB,Bills,31,63.4,49.3,52.9,67.2,71,3000000
Ifeatu Melifonwu,CB,Dolphins,27,62.9,57.5,61.4,63.5,51,3000000
Tariq Woolen,CB,Seahawks,27,62.4,70.9,70,63,72,998054
Arthur Maulet,CB,Lions,33,62.2,65.7,46.1,63,9,1255000
Jack Jones,CB,Dolphins,29,60.2,77.7,84.9,54.7,91,1100000
Mike Hilton,CB,Colts,32,60,60.6,73.6,56.6,6,315000
Ugo Amadi,CB,Saints,29,60,60,null,null,0,1280000
Cam Lewis,CB,Bills,29,60,65,56.8,58,38,1550000
Kindle Vildor,CB,Buccaneers,29,59.3,72.1,null,56.8,15,1337500
Darius Slay,CB,Bills,35,58.3,54.2,60,58.6,36,10000000
Akayleb Evans,CB,Panthers,27,57.7,66.2,null,55,4,1105269
Cam Taylor-Britt,CB,Bengals,27,57.6,56.2,63.8,57,32,1488183
Kendall Sheffield,CB,Dolphins,30,56.9,47.4,null,75.7,2,322500
Kaiir Elam,CB,Titans,25,56.8,55.5,58.5,56.3,49,1100000
Josh Jobe,CB,Seahawks,28,56.5,74.9,85.7,52,72,2000000
Tre Avery,CB,Browns,29,55.9,71.4,null,52.5,4,1100000
Noah Igbinoghene,CB,Commanders,27,55.6,54.1,78,54.4,32,1500000
Khristian Boyd,CB,Jets,30,55.4,55,56.5,null,0,1600000
Greg Newsome II,CB,Jaguars,26,54.3,49.7,null,55.3,69,3187189
Jalyn Armour-Davis,CB,Titans,27,54.2,71.1,60,49.6,48,1105081
Ahkello Witherspoon,CB,Rams,31,53.7,61.9,null,51.3,15,1255000
Adoree' Jackson,CB,Eagles,31,53.6,55,null,52.8,52,1755000
Dee Alford,CB,Falcons,29,52.8,34.8,60.4,56.5,52,1500000
Darren Hall,CB,Cardinals,26,51.1,69.2,56.4,46.1,12,1100000
Jonathan Jones,CB,Commanders,33,50.9,56.6,80.2,48,42,5500000
Nick McCloud,CB,Bears,28,49.9,46,48.7,51.4,40,1320000
Amik Robertson,CB,Lions,28,48.6,49,57.8,48,76,4625000
Corey Ballentine,CB,Cowboys,30,48.3,50.5,59.1,57.3,2,1170000
Darnay Holmes,CB,Raiders,28,46.7,51.4,58.4,46.2,15,1195000
Isaiah Oliver,CB,Jets,30,44.5,40.5,63.9,49.1,28,2500000
Jaylon Jones,CB,Bears,29,42.5,74.3,53.8,38,3,1200000
Ja'Sir Taylor,CB,Jets,27,41.1,28.1,59,50.3,12,948003
Marco Wilson,CB,Bengals,27,39,60.3,null,36.4,2,1520000
Jeff Okudah,CB,Vikings,27,32.4,64.5,60,35.7,8,2350000
Elijah Campbell,CB,Dolphins,31,29.8,60,60,35,2,1900000
