Player,Pos,PrevTeam,Edad,DEF,RDEF,PRSH,COV,Snaps%,SalarioAnual
Joshua Uche,EDGE,Eagles,28,85.1,69.5,83.2,73.7,21,1920000
Trey Hendrickson,EDGE,Bengals,32,82.9,56.8,90,67.1,26,29000000
Jadeveon Clowney,EDGE,Cowboys,33,79.2,70.6,80.6,62.9,33,3500000
Khalil Mack,EDGE,Chargers,35,79.2,77.2,67.5,74.7,41,18000000
Dante Fowler Jr.,EDGE,Cowboys,32,77.6,67.8,72.8,64.1,32,6000000
Cameron Jordan,EDGE,Saints,37,76,82.1,59.5,76.9,53,6050000
Odafe Oweh,EDGE,Chargers,28,75.5,64.1,81,35.1,48,2835598
Arnold Ebiketie,EDGE,Falcons,27,74.9,65.2,73.4,64.5,34,2204673
Joey Bosa,EDGE,Bills,31,74.6,52,85.5,61.9,57,12610000
Al-Quadin Muhammad,EDGE,Lions,31,74.3,59.3,71.9,63.4,41,1422500
Jaelan Phillips,EDGE,Eagles,27,74.2,60.3,76.2,69.7,74,3504552
Joe Tryon-Shoyinka,EDGE,Bears,27,72.2,66.2,67.6,63.1,13,4750000
Boye Mafe,EDGE,Seahawks,28,70.1,68.1,68,72.1,49,2140565
Cameron Thomas,EDGE,Browns,26,67.6,65.5,66.6,62.4,29,1286085
Khalid Kareem,EDGE,Falcons,28,67.2,59.4,67.7,61.6,6,1170000
Preston Smith,EDGE,Commanders,34,66.9,64.3,57.7,90.4,24,1255000
Victor Dimukeje,EDGE,Giants,27,65.6,48.8,54.7,60,1,1337500
Derek Barnett,EDGE,Texans,30,64.7,59.6,69.1,60.5,33,4000000
Von Miller,EDGE,Commanders,37,64.4,67.2,62.4,47.1,36,6100000
Samson Ebukam,EDGE,Colts,31,64.1,59,60.1,77.6,35,8000000
Joseph Ossai,EDGE,Bengals,26,64,70.7,62.4,57.4,56,6500000
Arden Key,EDGE,Titans,30,63.7,71.1,56.7,76.9,42,7000000
Chris Rumph II,EDGE,Saints,28,62.9,67.8,57.5,51.6,30,1100000
Azeez Ojulari,EDGE,Eagles,26,62.5,69.3,49.4,65.1,6,3000000
Dominique Robinson,EDGE,Bears,28,62.1,58,65,46.5,20,983288
Charles Omenihu,EDGE,Chiefs,29,62,75,58.8,52.1,54,4000000
Kyle Van Noy,EDGE,Ravens,35,61.7,72.5,51.8,83.2,43,4250000
Kingsley Enagbare,EDGE,Packers,26,61.2,64.5,58.5,52.8,41,975639
K'Lavon Chaisson,EDGE,Patriots,27,60.8,48.4,63,83.8,62,3000000
L.J. Collier,EDGE,Cardinals,31,60.4,55.5,63.6,null,8,3000000
Leonard Floyd,EDGE,Falcons,34,60.1,60,61.8,51.9,41,10000000
Deatrich Wise Jr.,EDGE,Commanders,32,60,58.7,59.8,71.3,4,3250000
Micheal Clemons,EDGE,Jets,29,59.9,58.6,59.8,61.7,51,1106024
Yetur Gross-Matos,EDGE,49ers,28,59.5,38.2,73.1,58.9,14,9000000
Trevis Gipson,EDGE,Panthers,29,59.3,59,57.5,55.9,22,1170000
Da'Shawn Hand,EDGE,Chargers,31,59.2,62,54.9,65.3,44,2350000
Kwity Paye,EDGE,Colts,28,59,65.8,56.8,36.5,62,3411209
A.J. Epenesa,EDGE,Bills,28,58.9,48.5,63.4,74,44,6000000
Quinton Bell,EDGE,Dolphins,30,58.7,59.7,54.5,74.4,10,1100000
Jacob Martin,EDGE,Commanders,31,58.4,60.9,63.9,30.1,61,2585000
Brandon Graham,EDGE,Eagles,38,58,59.9,58.5,60,10,2444444
Malcolm Koonce,EDGE,Raiders,28,58,66.1,59.4,33,44,11040000
Dennis Gardeck,EDGE,Jaguars,32,57.7,63.3,67.5,43.3,38,2000000
Sam Williams,EDGE,Cowboys,27,57.5,54.7,55,85,42,1556064
Denico Autry,EDGE,Texans,36,57.2,54.4,60.7,60,19,7500000
Haason Reddick,EDGE,Buccaneers,32,57.2,45.2,60.1,70,49,14000000
D.J. Wonnum,EDGE,Panthers,29,56.7,61.6,50.4,61.8,65,6250000
DeAngelo Malone,EDGE,Falcons,27,55.7,49.6,49.7,77.4,1,1307395
Cam Sample,EDGE,Bengals,27,54.1,56.5,53.9,53.8,21,1267500
Kentavius Street,EDGE,Falcons,30,53.3,49.8,56.3,63.3,19,1170000
David Ojabo,EDGE,Ravens,26,53.2,53.8,52.4,63.6,17,1977281
Clelin Ferrell,EDGE,49ers,29,53.1,54.9,51.2,73.3,23,1170000
Marcus Davenport,EDGE,Lions,30,52.4,51.9,55.8,53.7,25,2500000
Jihad Ward,EDGE,Titans,32,51.8,53.6,56.4,71.1,66,1405000
Tyquan Lewis,EDGE,Colts,31,46.1,49.4,51.4,55.8,28,6000000
Drake Jackson,EDGE,Commanders,25,46,39.9,67.7,null,5,1100000
Emmanuel Ogbah,EDGE,Jaguars,33,45.9,42.1,51.7,56.8,29,3250000
Dawuane Smoot,EDGE,Jaguars,31,44.1,37.4,52,54.1,41,1500000
Ogbo Okoronkwo,EDGE,Eagles,31,39.1,60,56.5,60,0,1255000
Isaiahh Loudermilk,EDGE,Steelers,29,32.8,31,59.1,null,3,1627500
