Player,Pos,PrevTeam,Age,OFF,PBLK,RBLK,Snaps%,SalaryPY
Tyler Linderbaum,C,Ravens,26,80.2,63.4,83.7,99,3309574
Teven Jenkins,RG,Browns,28,77.7,60.8,79.1,29,3050000
Kevin Zeitler,RG,Titans,36,74.5,75.4,70.8,86,9000000
Josh Jones,RG,Seahawks,29,74.3,71.9,70.3,23,4000000
Ed Ingram,RG,Texans,27,73.8,52.4,79.9,80,1499494
Isaac Seumalo,LG,Steelers,33,73.3,76.4,67.1,74,8000000
Brady Christensen,LG,Panthers,30,72.7,74.7,70.1,27,2787500
Matt Hennessy,C,49ers,29,71.8,63.4,71.8,15,1150000
Matt Pryor,RG,Eagles,32,71.5,71.8,72.8,11,1355000
Corey Levin,C,Titans,32,71.3,74,69,18,1255000
Connor McGovern,LG,Bills,29,70.9,70.8,68.6,91,7450000
Austin Schlottmann,C,Giants,31,70.8,77,69.8,31,1397500
Joel Bitonio,LG,Browns,35,70.7,75.7,64.4,99,16000000
David Edwards,LG,Bills,29,70.3,75,66.3,91,3000000
Max Mitchell,LG,Jets,27,69.6,27.8,78.9,6,1114007
Dalton Risner,LG,Bengals,31,69.4,71.5,69,69,1337500
Luke Fortner,C,Saints,28,66.5,72.5,65.3,60,1500000
Austin Corbett,RG,Panthers,31,65.4,56.2,66.2,63,3000000
Greg Van Roten,RG,Giants,36,65.3,70.1,61.2,100,3250000
Lucas Patrick,RG,Bengals,33,63.9,65.9,62,2,2100000
Ethan Pocic,C,Browns,31,63.8,62.2,63.2,76,6000000
Dylan Parham,LG,Raiders,27,63.6,62.3,63.1,84,1282858
Elijah Wilkinson,LG,Falcons,31,62.9,61,68.3,100,1422500
Aaron Stinnie,LG,Giants,32,62.7,58.1,68.5,5,1337500
Wyatt Teller,RG,Browns,32,62.2,53.1,65.7,70,14200000
Cade Mays,LG,Panthers,27,61,67.6,58.3,68,3406000
Sam Mustipher,C,Broncos,30,61,53.3,62.5,0,1170000
Daniel Brunskill,RG,Dolphins,32,60.6,53.3,62.2,17,1170000
Jamaree Salyer,RG,Chargers,26,59.9,68.8,59.5,39,958983
Fred Johnson,RG,Eagles,29,58.9,65.5,55.8,59,1337500
Daniel Faalele,RG,Ravens,27,57.2,61.2,53.6,99,1115085
John Simpson,LG,Jets,29,56.9,62,56.7,0,6000000
Zion Johnson,LG,Chargers,27,56.8,61,52.8,93,3686670
Spencer Burford,RG,49ers,26,56.7,44.6,61.4,40,2275000
Danny Pinter,RG,Colts,30,56.5,60.9,53.9,12,1667500
Cole Strange,LG,Dolphins,28,54.9,42.2,57,82,1100000
Dan Feeney,LG,Buccaneers,32,54.2,60.1,49.3,58,1255000
Chris Paul,LG,Commanders,28,49.8,78.2,38.2,81,941112
Michael Jordan,LG,Buccaneers,28,49.7,71,39.3,63,1170000
Trystan Colon,C,Lions,28,47.5,34.4,51.1,16,1220000
Andre James,C,Chargers,29,46.6,68.6,33.8,7,1170000
Will Hernandez,RG,Cardinals,31,45.3,47.1,47.1,34,1750000
