Player,Pos,PrevTeam,Edad,DEF,RDEF,PRSH,COV,Snaps%,SalarioAnual
Devin Lloyd,LB,Jaguars,28,88.4,85.2,81.8,78.9,64,3234152
Devin Bush,LB,Browns,28,87.6,87.3,68.7,80.4,82,3250000
Demario Davis,LB,Saints,37,80.3,88.9,57.4,68.3,98,8625000
Bobby Wagner,LB,Commanders,36,79.3,90.3,92.4,52.3,99,9000000
Jack Cochrane,LB,Chiefs,27,78.5,65.1,56.2,83.2,8,2100000
D'Marco Jackson,LB,Bears,28,76.4,62.5,57.1,81.7,24,994229
Channing Tindall,LB,Cardinals,26,75.7,65,59.4,60.5,0,1100000
Mykal Walker,LB,Jets,29,75.6,76,50.9,68.7,17,1170000
Jalen Reeves-Maybin,LB,Bears,31,75,70.6,58.8,60.5,0,1255000
Leo Chenal,LB,Chiefs,26,75,76.2,56.9,72.6,42,1261226
Troy Reeder,LB,Rams,32,74.3,62,59.4,77.5,7,1170000
Cole Holcomb,LB,Steelers,30,72.6,74.7,54.1,65.6,17,2000000
Justin Strnad,LB,Broncos,30,72.1,63.2,70.8,70.5,51,2787500
Alex Singleton,LB,Broncos,33,70.1,84.8,63.7,55.2,91,6000000
Jerome Baker,LB,Browns,30,69.8,62.8,77.7,69.1,24,1422500
Jake Hummel,LB,Ravens,27,69.1,74.1,52.7,59.7,2,1200000
Shaq Thompson,LB,Bills,32,68.5,60,60.3,72.2,42,1255000
Kaden Elliss,LB,Falcons,31,68.1,56.9,84.6,61.8,99,7166667
Alex Anzalone,LB,Lions,32,67.5,65.6,65.2,65.3,90,6250000
Jamal Adams,LB,Raiders,31,67.3,62.3,71.4,69.2,39,1255000
Grant Stuard,LB,Lions,28,66.8,63.5,null,62.6,3,1700000
Willie Gay,LB,Dolphins,28,66.7,55.1,61.9,69.5,13,1337500
Kristian Welch,LB,Packers,28,66.1,60,null,null,0,1170000
Neville Hewitt,LB,Giants,33,64.5,61.2,58.3,61.9,0,1255000
Micah McFadden,LB,Giants,26,64.1,58.2,null,65.6,1,1003926
Josh Woods,LB,Falcons,30,63.9,60.4,null,63.8,1,1170000
Zach Cunningham,LB,Lions,32,63.1,71.1,null,51.9,1,1255000
Germaine Pratt,LB,Colts,30,63,67.6,55.8,57.5,79,1846154
Nakobe Dean,LB,Eagles,26,62.2,42.4,92.4,62.6,35,1301161
Eric Wilson,LB,Vikings,32,62.1,72.9,70.2,36.7,90,2600000
Anthony Walker Jr.,LB,Buccaneers,31,62,null,null,60,0,1255000
Eric Kendricks,LB,49ers,34,60,62.3,47.7,59.9,4,1255000
Isaiah Simmons,LB,Panthers,28,60,60,null,null,0,1170000
K.J. Britt,LB,Dolphins,27,58.7,79.2,48.5,44.6,14,1337500
Denzel Perryman,LB,Chargers,34,57.2,66.2,53,52,29,2655000
Elandon Roberts,LB,Raiders,32,57.2,76.7,43.8,36.4,58,3010000
Jack Sanborn,LB,Cowboys,26,56.3,54.7,55,58.6,20,1500000
E.J. Speed,LB,Texans,31,55.6,64.1,50.3,55,41,3500000
Christian Harris,LB,Texans,25,54.8,64.8,56.6,53.8,8,1337065
Del'Shawn Phillips,LB,Chargers,30,54.1,68.4,66.3,41.5,8,1700000
Lavonte David,LB,Buccaneers,36,52.6,66.2,48.6,45.1,91,9000000
Curtis Robinson,LB,49ers,28,51.2,48.4,45.4,57.8,22,1170000
Chazz Surratt,LB,Seahawks,29,50.5,54.1,null,null,0,1150000
Christian Rozeboom,LB,Panthers,29,48.4,56.6,61.7,42.3,77,2500000
Nick Niemann,LB,Packers,29,47.8,null,null,60,0,1170000
Matt Milano,LB,Bills,32,46.2,49.2,66,48.3,50,6306500
Quay Walker,LB,Packers,26,46,54.4,61,40.9,80,3460411
Quincy Williams,LB,Jets,30,45.5,57.3,66.9,35.2,64,6000000
Joe Bachie,LB,Titans,28,45.4,52.5,72.4,46.6,13,1170000
Garret Wallow,LB,49ers,27,44.7,38.4,50.4,57.9,4,1100000
Krys Barnes,LB,Panthers,28,43.9,63.3,59.6,32.3,13,1170000
Luke Gifford,LB,49ers,31,42.8,55.7,60,29.9,15,1800000
Deion Jones,LB,Buccaneers,32,41.6,30.7,69.3,49,11,1255000
Devin White,LB,Raiders,28,40,47,69,34.9,94,1170000
Kenneth Murray Jr.,LB,Cowboys,28,38.8,31.9,52.2,48.1,78,7750000
Damone Clark,LB,Texans,26,34.5,67.1,59.5,28.2,9,975639
Buddy Johnson,LB,Colts,27,32.8,56.3,57.7,33.5,2,1030000
Malcolm Rodriguez,LB,Lions,27,28.4,57.4,54,27.7,6,961982
