Player,Pos,PrevTeam,Age,OFF,PBLK,RBLK,Snaps%,SalaryPY
Brett Toth,LT,Eagles,30,73.6,59.7,75.6,34,1147500
Ben Bartch,LT,49ers,28,71.7,65.4,69.7,17,1337500
Trent Brown,RT,Texans,33,69,66,71.5,41,2050000
Yosh Nijman,LT,Panthers,30,68.4,48.6,82.7,26,2000000
Thayer Munford Jr.,RT,Patriots,27,67.2,75.2,61,9,1100000
Justin Skule,LT,Vikings,30,65.7,63.2,61.2,57,2000000
Braden Smith,RT,Colts,30,65.3,71.9,58,71,8000000
Jermaine Eluemunor,LT,Giants,32,63.8,76.7,55.1,94,7000000
Rasheed Walker,LT,Packers,26,63,69.3,53.7,94,935219
Jake Curhan,RT,Panthers,28,62.3,56,61.6,14,1170000
Trent Scott,RT,Commanders,32,61.7,75.4,61.4,7,1422500
Vederian Lowe,LT,Patriots,27,61.4,67.1,56.8,29,964468
Larry Borom,RT,Dolphins,27,60.7,67.1,54.4,67,2500000
Sean Rhyan,LT,Packers,26,59.2,42.4,65.6,76,1280714
David Quessenberry,RT,Rams,36,59,null,58,1,1330000
Kayode Awosika,RT,Lions,28,57.9,52.5,60.5,26,1400000
Jack Conklin,RT,Browns,32,57.4,44.8,67.1,35,9000000
Rob Havenstein,RT,Rams,34,56.4,45.2,63.5,40,11500000
Jonah Williams,LT,Cardinals,29,55.6,53.8,56.9,52,15000000
Braxton Jones,LT,Bears,27,55.5,62.7,47.2,18,989887
Stone Forsythe,LT,Raiders,29,55.2,53.6,56.1,70,1170000
Olisaemeka Udoh,LT,Titans,29,55,55,59.9,32,1170000
Joe Noteboom,LT,Ravens,31,54.7,34.1,68.6,14,2000000
Trevor Penning,LT,Chargers,27,53.6,52.5,56.9,48,3535829
Kendall Lamm,RT,Dolphins,34,53.5,68.6,51.1,0,1425000
Blake Hance,RT,Titans,30,52.2,63.5,59.9,8,1320000
Kelvin Beachum,RT,Cardinals,37,51.6,54.6,48.9,58,4000000
Hakeem Adeniji,LT,Cowboys,29,50.8,34.7,56.1,6,1170000
Dan Skipper,LT,Lions,32,50.5,69.3,47.5,20,1170000
Andrus Peat,LT,Steelers,33,50.4,59.1,52.8,14,1422500
Bobby Hart,RT,Chargers,32,50.2,57.4,45.3,45,1255000
Trey Pipkins III,RT,Chargers,30,49.9,60.7,43.8,53,7250000
Dillon Radunz,RT,Saints,28,48.5,64.3,49.1,62,2250000
Cam Robinson,LT,Browns,31,48.2,56.2,48.3,69,12000000
Andrew Wylie,RT,Commanders,32,47.7,63.5,44.9,34,4000000
Charlie Heck,RT,Buccaneers,30,45.2,48,44,41,1570000
D.J. Humphries,LT,Rams,33,41.9,54.1,36.7,7,2500000
