Player,Pos,PrevTeam,Edad,DEF,RDEF,PRSH,COV,Snaps%,SalarioAnual
Bryan Cook,S,Chiefs,27,83.5,80.1,58.3,83.2,82,1461786
Julian Blackmon,S,Saints,28,82.4,69.2,null,76.6,6,3170000
Jaylinn Hawkins,S,Patriots,29,81.3,86.3,64.5,79.7,81,1800000
Kamren Curl,S,Rams,27,79.9,87.5,66.4,75.1,99,4500000
Terrell Burgess,S,Saints,28,79.5,80.1,59,71.4,10,1183778
D'Anthony Bell,S,Panthers,30,78.6,68.4,76,72.9,8,1100000
Daniel Thomas,S,Lions,28,75.8,71.6,58.5,71,10,1500000
Kevin Byard,S,Bears,33,75.4,82.5,49.1,71.6,99,7500000
Chuck Clark,S,Steelers,31,74.6,86.5,55.4,67.2,37,1422500
Elijah Hicks,S,Bears,27,73,67.4,49.6,72.6,5,934253
Tony Jefferson,S,Chargers,34,70.8,61,71.7,72.6,48,1255000
Alohi Gilman,S,Ravens,29,70.4,71.6,58.6,71.9,93,5062500
Jalen Thompson,S,Cardinals,28,68.7,63.2,60.5,69.2,85,12000000
Jordan Poyer,S,Bills,35,68.6,71.5,71.7,62.8,43,1255000
Harrison Smith,S,Vikings,37,68,61.7,71.5,67.6,74,10250000
Sam Franklin Jr.,S,Bills,30,65.4,60,60,64.3,0,1170000
Jabrill Peppers,S,Steelers,31,65.1,90.9,null,52.9,8,1255000
Jaquan Brisker,S,Bears,27,64.6,79.1,72.3,54.1,99,1838886
Tony Adams,S,Jets,27,63.7,51.6,61.7,67.1,41,3263000
P.J. Locke,S,Broncos,29,63,70.8,57.7,61.2,15,3500000
Nick Scott,S,Panthers,31,62.3,68,74.8,61,97,1337500
Ronnie Harrison,S,Falcons,29,62.3,71.7,77.7,52,25,1255000
Dane Belton,S,Giants,26,62.3,70.7,51.8,59.8,63,1111123
Andre Cisco,S,Jets,26,61.3,75.6,50,54.5,44,8500000
Nazeeh Johnson,S,Chiefs,28,60,60,null,null,2,1900000
Terrell Edmunds,S,Raiders,29,60,null,null,60,0,1255000
Nick Cross,S,Colts,25,59.8,72,69,50.4,95,1266409
Ar'Darius Washington,S,Ravens,27,58.7,73.6,91.6,45.1,5,3263000
Andrew Wingard,S,Jaguars,30,57.9,80.9,55.9,47.9,87,3200000
Rayshawn Jenkins,S,Browns,32,54.9,52.4,63.8,57.7,26,1422500
Mike Edwards,S,Chiefs,30,54.9,62.7,58.3,53.7,11,1170000
Geno Stone,S,Bengals,27,54.3,53.9,72.8,50.7,93,4900000
Marcus Epps,S,Eagles,30,51.8,80.9,null,45.3,22,1170000
C.J. Gardner-Johnson,S,Bears,29,51.4,67.1,59.3,44.9,72,1170000
Ashtyn Davis,S,Dolphins,30,51.1,49.6,54.1,52.2,66,2500000
Donovan Wilson,S,Cowboys,31,50.8,73.9,59,38.8,83,7000000
Tycen Anderson,S,Bengals,27,50.8,52.8,null,53.4,5,991521
Jason Pinnock,S,49ers,27,49.8,67,59.2,43.5,45,2200000
Marcus Maye,S,Chargers,33,49.7,59.1,null,51.1,2,1255000
M.J. Stewart,S,Texans,31,49.7,80.6,56.2,42.4,21,2500000
Kyle Dugger,S,Steelers,30,49.6,59,89.1,41.7,66,11000000
Jonathan Owens,S,Bears,31,48.6,60.6,51.3,50.4,4,1900000
Kaevon Merriweather,S,Texans,27,45.3,56.7,59.2,46.4,2,234000
Demetrius Flannigan-Fowles,S,Giants,30,44.3,47.4,68.1,44.2,16,1337500
Lonnie Johnson Jr.,S,Raiders,31,43.7,34.6,56.4,49.5,28,1685000
Damar Hamlin,S,Bills,28,42.8,60,56.8,47.5,1,2000000
Darnell Savage,S,Bills,29,42.7,53,55.1,43.3,24,1170000
Reed Blankenship,S,Eagles,27,42.6,75.3,67.8,29.9,89,2950000
