Player,Pos,PrevTeam,Age,OFF,RECV,PBLK,RBLK,Snaps%,SalaryPY
Darren Waller,TE,Dolphins,34,82.8,87.6,62.4,36.8,23,2000000
Charlie Kolar,TE,Ravens,27,77.5,75,48.4,71.5,39,1091220
Greg Dulcich,TE,Dolphins,26,77.4,80.6,28.3,57.4,24,1030000
Connor Heyward,TE,Steelers,27,74.3,61.1,57.7,55.3,8,953806
Kyle Pitts,TE,Falcons,26,73.6,82,81.3,43,87,8227624
Tanner Hudson,TE,Bengals,32,73.1,73.6,64.9,58.1,13,1255000
Chris Manhertz,TE,Giants,34,72.7,47,69.7,69.9,18,1422500
Travis Kelce,TE,Chiefs,37,72,74,57.9,53.8,81,17125000
Tyler Higbee,TE,Rams,33,69.7,68,67.4,68.6,32,8500000
Mo Alie-Cox,TE,Colts,33,67.4,58,81.3,64.6,39,2200000
Austin Hooper,TE,Patriots,32,67.1,70.4,63.8,56.8,46,5000000
Dallas Goedert,TE,Eagles,31,66.7,69.1,64.2,50.6,74,10000000
Andrew Beck,TE,Jets,30,66.1,72.5,20.3,57.7,10,1337500
Ian Thomas,TE,Raiders,30,63.8,67.1,58.7,56.7,32,1524500
Daniel Bellinger,TE,Giants,26,62.5,63,68.2,60.9,48,1113278
Zach Ertz,TE,Commanders,36,60.8,63.3,30.9,56.8,52,6250000
Chigoziem Okonkwo,TE,Titans,27,59.9,67.1,60.5,27.9,63,1041084
Robert Tonyan,TE,Chiefs,32,59.1,46.9,55.3,69.5,11,1255000
Pharaoh Brown,TE,Cardinals,32,57.9,48.2,52.2,72.2,5,1255000
Adam Trautman,TE,Broncos,29,57.6,58.3,71.4,55.7,57,3750000
Jack Stoll,TE,Saints,28,57.6,59,68.9,53.5,18,1270000
Cade Otton,TE,Buccaneers,27,57.4,58.1,71.3,56.1,87,1130985
Noah Fant,TE,Bengals,29,56.4,56.6,32,58.9,34,2750000
Isaiah Likely,TE,Ravens,26,56.4,57,46.1,66.5,48,1041084
John FitzPatrick,TE,Packers,26,56.3,47.5,73.6,66,31,1500000
Stone Smartt,TE,Jets,28,56,60.3,22.4,49.6,8,1350000
David Njoku,TE,Browns,30,55.9,61.6,47.7,43.1,47,13687500
Anthony Firkser,TE,Lions,31,54.2,56.3,65.9,47,17,1170000
Quintin Morris,TE,Jaguars,27,53.9,54.3,46,55,18,1100000
Taysom Hill,TE,Saints,36,53.4,50.7,41,59.2,18,10000000
Foster Moreau,TE,Saints,29,51.7,55.5,70.7,50,22,4078000
Grant Calcaterra,TE,Eagles,28,50.5,51.5,71.1,49.1,36,958535
Josiah Deguara,TE,Cardinals,29,50.1,53.5,68.3,43,7,1170000
Harrison Bryant,TE,Texans,28,47.7,40.4,41.7,59.7,14,1170000
Jelani Woods,TE,Jets,28,47.3,49.7,73,48.7,5,960000
Durham Smythe,TE,Bears,31,44.7,38.4,61.6,53.2,25,2500000
Shane Zylstra,TE,Lions,30,44,49.7,42.6,41,14,1100000
Tyler Conklin,TE,Chargers,31,43.3,44.7,73.6,46.8,14,3000000
Kylen Granson,TE,Eagles,28,43.2,42.9,75,46.2,23,1750000
