Player,Pos,PrevTeam,Age,OFF,RECV,PBLK,RBLK,Snaps%,SalaryPY
George Pickens,WR,Cowboys,25,85.9,87.2,null,53.4,81,1688047
DeAndre Hopkins,WR,Ravens,34,81.3,82.3,null,48.8,32,5000000
Alec Pierce,WR,Colts,26,79.3,81,null,54.6,75,1650336
Gunner Olszewski,WR,Giants,30,76.7,78.2,null,50.8,10,1170000
Keenan Allen,WR,Chargers,34,76,76.1,64.9,44.4,55,3020000
Romeo Doubs,WR,Packers,26,74.6,77.3,null,33.5,74,1085979
Dareke Young,WR,Seahawks,27,71.2,69.8,null,68,4,940275
Wan'Dale Robinson,WR,Giants,25,70.2,69.8,39.6,67.1,84,2046292
Kalif Raymond,WR,Lions,32,70,68.5,null,65.3,32,4000000
Marquise Brown,WR,Chiefs,29,69.8,70.4,null,46.2,49,7000000
Mike Evans,WR,Buccaneers,33,69.8,71.2,null,37.9,31,20500000
Deebo Samuel,WR,Commanders,30,69.4,70.3,61.8,53.6,67,23850000
Devin Duvernay,WR,Bears,29,68.7,69.4,null,50.7,3,1170000
D'Wayne Eskridge,WR,Dolphins,29,68.1,65.4,null,77.1,9,1270000
Jauan Jennings,WR,49ers,29,67.1,68.9,64,42.2,70,5945000
Jalen Nailor,WR,Vikings,27,66.3,67.1,66.4,51.7,65,960165
Tyquan Thornton,WR,Chiefs,26,66.2,68.4,null,35.9,33,1100000
Rashid Shaheed,WR,Seahawks,28,66.1,67.7,null,31.5,63,3092500
Dante Pettis,WR,Saints,31,65.7,67,null,54.3,10,1170000
Alex Bachman,WR,Raiders,30,64.6,66.5,null,68.7,4,1030000
Skyy Moore,WR,49ers,26,63.6,62.3,null,62.6,9,1612627
Treylon Burks,WR,Commanders,26,62.9,64.6,null,44.8,27,1100000
Kendrick Bourne,WR,49ers,31,62.5,64.1,null,46.5,52,1765000
Greg Dortch,WR,Cardinals,28,62.3,61.4,null,45.6,25,3263000
Christian Kirk,WR,Texans,30,62.1,61.4,null,67.2,37,18000000
Sterling Shepard,WR,Buccaneers,33,61.6,62.8,78.1,38,43,1500000
Josh Reynolds,WR,Jets,31,61.6,61.8,null,50.8,26,2750000
Tim Patrick,WR,Jaguars,33,61.4,62.2,60.2,60.9,29,2500000
Gabe Davis,WR,Bills,27,61.2,59.2,null,78.5,21,1170000
Jalen Tolbert,WR,Cowboys,27,60.4,61.2,null,45.1,39,1283930
Braxton Berrios,WR,Texans,31,60.2,62.8,null,31.4,5,1800000
Van Jefferson,WR,Titans,30,59.1,60.5,null,34.4,55,1670000
Noah Brown,WR,Commanders,30,58.8,61.5,null,42.4,9,3250000
Cedrick Wilson Jr.,WR,Dolphins,31,58.6,56.6,null,62.2,20,1170000
Tyler Johnson,WR,Jets,28,58.4,60,24.4,55.9,27,1170000
Zay Jones,WR,Cardinals,31,58.1,57.7,null,67.5,23,2400000
Lil'Jordan Humphrey,WR,Broncos,28,57.5,58.4,76.7,51,28,1170000
Brandin Cooks,WR,Bills,33,57.4,57.2,null,51.9,47,1255000
Scott Miller,WR,Steelers,29,57,60.6,null,30.2,15,1337500
Tutu Atwell,WR,Rams,27,56.9,57.3,null,42.2,16,10000000
JuJu Smith-Schuster,WR,Chiefs,30,56.7,60.5,72.8,31.1,55,1422500
Chris Moore,WR,Commanders,33,55.9,57.3,null,38.9,40,1255000
Olamide Zaccheaus,WR,Bears,29,55.7,56.3,76.5,43.5,50,1500000
Dyami Brown,WR,Jaguars,27,55.5,58,null,45.1,31,10000000
Calvin Austin III,WR,Steelers,27,54.6,55.4,null,54.2,43,1041084
Isaiah Hodgins,WR,Giants,28,54.6,56.3,67.5,43.7,31,1100000
James Proche II,WR,Titans,30,54.5,55.8,null,52,16,1170000
Jahan Dotson,WR,Eagles,26,54.1,53,52.8,68.2,56,3762089
Adam Thielen,WR,Steelers,36,54.1,57.3,62.3,30.4,38,5000000
Tyler Lockett,WR,Raiders,34,52.1,52.8,null,41.4,49,1255000
David Moore,WR,Panthers,31,51.8,49.5,65.4,54.5,7,1422500
Tylan Wallace,WR,Ravens,27,49.5,54.3,null,39.4,18,2100000
Marquez Valdes-Scantling,WR,Steelers,32,49.2,51.1,null,32.1,31,1255000
